pvform	lemma	pvv	mood	cau	pot	PV	CP_cnd	CP_imp	CP_ind	HKM	inf	nom	acc	dat	BAN	ON	RA	VAL	UL	BA	RÓL	HOZ	BÓL	TÓL	NÁL	VÁ	IG	ÉRT	KÉNT	KOR	SZOR	NKÉNT	ADP	ADV	FROM	IN	TO
ki	ad	ki+ad	ind	-	-	-0.6821385117469007	0.0030607940186773014	0.003940231421273368	-0.03151992212462487	0.07381305004169007	0.012230613011346536	-0.022145878708882738	0.09785879925226115	0.12650623550539436	-0.08990897543831541	-0.07361282191299581	0.04304247904747449	-0.02255965594753334	0.005421754209705684	0.026321868531285566	0.013720656634344762	0.020463415808274887	-0.007080101540787375	0.0005818283074342833	0.00019542798199811712	0.00013582807445491462	-0.0005481813461430344	0.010284417648958887	-0.004982667106657146	0.001106491231487052	0.0002927400468384075	0.001097166544603606	-0.060066509362720594	-0.024274824153860453	0.007954233518087696	-0.1545830973835388	0.0823766725180991
ki	alakít	ki+alakít	ind	-	-	-0.8055676381035233	0.0007220633320431128	0.0013235641584437691	0.06980835219094789	-0.036496563084616226	0.0012680544585894691	0.3090684846929817	-0.07241481775167502	-0.012996531651298177	-0.030790280000621256	-0.10253246086532891	-0.02528487739551682	-0.06048274162559662	-0.0035948233707014388	-0.0007541525009999825	-0.01819465384940093	-0.002294983905894025	-0.033469402435609745	-0.0017150216034436845	-0.013416181180162454	0.09498764709571444	-0.0012322012757383701	-7.704822380461647e-05	-0.0031170787587019777	-0.0018092740321688978	-0.0001449905756125852	-0.0006493494272682162	-0.08335019060262983	-0.01642058665426291	-0.05214354983275896	-0.17604190328389108	-0.033550347744506874
ki	alakul	ki+alakul	ind	-	+	-0.5291238374938816	-0.006370524362901732	0.0013243881481271966	-0.009999038856139286	-0.0006348263537789833	-0.0016844897308194834	-0.08251197435971969	-0.00010580439229649751	-0.00012492251268670686	0.016272663156789297	-0.07105576808096237	-0.00799320756752821	0.007090989420346444	0.11089583583767616	0.0015331161200586533	-0.008882593003763126	-0.0013317211258111123	-0.022382081135731584	-0.0025678516496711826	-0.007215650040973014	0.1300616205828303	0.0007026563973552037	-0.0007246553304069516	0.002789936116669771	0.0007173223527230355	0.0	0.004788958211717207	0.2643575119940016	0.0475721689402826	-0.034485160803034376	0.11562927293264375	-0.007976970259799543
ki	alakul	ki+alakul	ind	-	-	-0.8154221439219407	-0.0013709271484715312	-0.001356627178215469	-0.052023594290923875	-0.04577901727964406	-0.0008855256581066311	-0.05219445143554102	-0.002312415190176405	-0.007125152679682426	-0.0722957821247732	-0.06964940762923212	-0.019483901973483896	-0.012375194259595941	0.061166637773393415	0.0004029841617929433	-0.014165743035254488	0.00013122972704216786	-0.024207787147802737	-0.006242487015627008	-0.018921088144136664	0.0753500632718684	-0.0005513738531423857	-0.0011529901017805883	-0.005363396344135603	-0.0018994210492042176	0.0	0.0013509071901130446	0.24724786072444965	0.17707009669419888	-0.04454861483888113	0.046432333420746486	-0.019575614282722288
ki	állít	ki+állít	ind	-	-	-0.5824568177430528	0.013152276366444463	0.000591788399685557	0.12293861425616992	0.31049055346726173	0.0061152309173477274	0.22061063982546658	-0.5221330123291352	0.014070873285359355	-0.1883157752617307	-0.14044040917940778	-0.0009463567159150657	-0.022110552129744245	-0.003969020066547806	0.03873949070866976	-0.03895071752766201	-0.0005642809644762926	-0.02125605510572066	-0.018024373101766154	-0.008143273359553723	0.000606993197587926	-0.006740331073433496	-0.01709997186166031	-0.006125893203013704	-0.0018135349199319127	0.0	-0.0005969618163992262	-0.04576764040463689	-0.07668858428820724	-0.0775762668877356	-0.3303513002310372	0.08001540668733509
ki	áll	ki+áll	ind	-	-	-0.3513682891163568	-0.0018888053540728061	-0.0018217509766312286	0.02359624272064828	0.0034985851833564396	0.004619965615431276	0.12205334970268189	-0.09607797522032152	0.020880498542733272	0.18115313979818337	0.12047691553215091	0.07765441497638993	0.040087570056603836	-0.03834069320988551	-0.011707342412438322	0.0006013948204193851	0.028484090713597095	0.04145834473713902	0.011263264255129479	0.012274302394296496	0.00038434083396543	-0.0001841551706996099	-0.06210165343080468	-0.007946739665917833	-0.0012283714024949478	0.0	0.00044282141137595254	-0.257164010371226	0.014968011626854794	0.05232026019667795	0.10469207490429183	0.05946095094892698
ki	bír	ki+bír	ind	-	-	-0.3858196132056939	-0.008935367801477282	-0.001407772214021565	0.012376074667318132	-0.0379520794285468	0.16717219027887611	0.09086086282199035	-0.1978120240060261	0.002115293754959062	0.03800205012033948	0.0017841387736346193	0.032315967063761816	0.36300746361195035	0.001244375983715372	-4.2567626341904856e-05	0.002250664094630213	0.0021791451944719194	0.010325293339858606	0.0005316987364818041	0.00019710661762664585	0.0	-0.06580333703751001	0.0005742663628237089	0.0012413354389766637	-0.000363543392671547	-6.768516983557529e-05	9.280271332924573e-05	-0.04559243956652938	0.004128795359970128	0.013428631937300267	0.031121165179047103	-0.051711866347171516
ki	bocsát	ki+bocsát	ind	-	-	-0.8707304256437205	0.0011914093218955172	0.0023026761166900942	-0.08185098267755575	0.02000970436240701	-0.00014844784917269387	-0.2297884015560453	-0.11960254742374143	0.011918277366956434	-0.09244238446083247	-0.05416930321633669	0.7470022367668452	-0.014220166720774495	0.03596854550647181	0.06248974973144565	-0.00441949738583731	0.0075182344812275165	-0.011143959653083346	-0.004411486709322088	-0.003944006515540962	0.0006414978362948162	0.002644989489920889	0.0009849555918849274	-0.0013814483174396496	-0.0022805394704270496	0.0	-0.009374029286604196	-0.049106376848973204	0.017703666622536418	-0.020617585966896883	-0.14348852517079727	0.8031991351902511
ki	bontakozik	ki+bontakozik	ind	-	-	-0.8208340201087853	0.004466191782127687	-0.005933739904400857	0.03959401145044991	0.0004090864860463797	0.00908132281888391	-0.04124823010519074	0.002488278480660735	-0.008406131531234548	-0.053101808916893894	-0.06863716610301433	0.0018448609006654626	0.011452435752570198	0.07589348658851658	0.02277777667452404	-0.029472099705894615	-0.001813087193011373	-0.044753267230782365	0.0011696696130160996	-0.008406131531234548	0.03515562166251954	0.02047021115614593	-0.008735783748145706	-0.009559914290423603	-0.0021427394099225315	0.0	-0.0004944783253667381	-0.17061686667553683	0.022350817477922225	-0.07338534954057205	-0.19006237575983848	0.050547997164196584
ki	cserél	ki+cserél	ind	-	-	-0.2299679487179487	-0.0061741153446760915	-0.0018117461458582954	-0.020411973799824262	0.0032880022366003694	0.0005336887930345875	0.20679517133956388	0.06747094416486932	0.00035496046010064734	0.011864965252815732	0.02080088265835929	0.07190770029555077	0.009657320872274153	0.010275880661394676	0.000978512660755651	0.03334481587986261	-0.0003564581835609872	-0.003741313203930026	0.0024612588864925313	0.004357876028436776	0.0008307372793354102	-0.006767713076124291	0.01690979710839524	0.0003849149293074527	-0.000920600686955827	0.0	0.008158598929626967	0.009703251058391246	0.0898324546689033	0.03164939292275741	0.01698668024602601	0.06757179087786566
